# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.408,939.04,1022.54,42.502,42.791,-11.213,11.214,59.151,0.023,59.151,89.977,4.959,0.113,26.74,83.888,0.212,-2.234e-5,-1.584,0.007,80.688,89.959,9739.826,1665.22,2.356,0.089,9.788,123.522,110.323,0.611,0,0,13.865,0.368,0.219,0.027,0.122,0.368,0.032,0.02,-1.694e-4,0,0,0,0,-1.656e-4,1.849,90,8.353,896.348,0.001,336.361,0.128,4.633e6,21.6,366.435,0.05,0.139,0.006
10.458,941.151,1024.651,41.943,42.234,-11.164,11.165,59.399,0.024,59.399,89.977,4.952,0.191,26.74,83.888,0.072,-2.231e-5,-1.44,-0.025,80.613,89.954,9739.826,1665.22,2.356,0.089,9.788,123.598,110.323,0.615,0,0,13.513,0.368,0.219,0.027,0.122,0.368,0.011,0.007,-2.562e-4,0,0,0,0,-1.405e-4,1.928,90,8.34,896.124,0.001,336.353,0.126,4.574e6,21.6,366.435,0.05,0.139,0.006
10.508,943.234,1026.734,41.386,41.68,-11.104,11.109,59.646,0.024,59.646,89.977,4.938,0.346,26.74,83.888,0.213,-2.231e-5,1.515,-0.026,80.54,89.951,9739.826,1665.22,2.356,0.089,9.788,123.52,110.323,0.611,0,0,13.181,0.368,0.219,0.027,0.122,0.368,0.033,0.02,3.403e-4,0,0,0,0,1.593e-4,2.117,90,8.326,895.902,0.001,336.345,0.125,4.517e6,21.6,366.435,0.05,0.14,0.005
10.558,945.289,1028.789,40.832,41.127,-11.068,11.073,59.893,0.024,59.893,89.977,4.92,0.339,26.74,83.888,0.215,-2.233e-5,1.702,-0.031,80.46,89.949,9739.826,1665.22,2.356,0.089,9.788,123.518,110.323,0.611,0,0,12.832,0.368,0.219,0.027,0.122,0.368,0.033,0.019,4.248e-4,0,0,0,0,2.065e-4,2.099,90,8.313,895.683,0.001,336.336,0.123,4.457e6,21.6,366.435,0.05,0.14,0.005
10.608,947.317,1030.817,40.279,40.577,-11.036,11.04,60.138,0.024,60.138,89.977,4.904,0.315,26.74,83.888,0.182,-2.228e-5,1.859,-0.038,80.371,89.946,9739.826,1665.22,2.356,0.089,9.788,123.535,110.323,0.612,0,0,12.487,0.368,0.219,0.027,0.122,0.368,0.028,0.017,-3.47e-4,0,0,0,0,2.53e-4,2.062,90,8.3,895.468,0.001,336.329,0.122,4.397e6,21.6,366.435,0.05,0.141,0.005
10.658,949.317,1032.817,39.729,40.028,-10.997,11.002,60.383,0.024,60.383,89.977,4.888,0.342,26.74,83.888,0.247,-2.229e-5,2.036,-0.03,80.273,89.945,9739.826,1665.22,2.356,0.089,9.788,123.499,110.323,0.61,0,0,12.156,0.368,0.219,0.027,0.122,0.368,0.038,0.022,3.828e-4,0,0,0,0,3.116e-4,2.098,90,8.287,895.255,0.001,336.321,0.12,4.338e6,21.6,366.435,0.05,0.141,0.005
10.708,951.29,1034.79,39.18,39.481,-10.96,10.966,60.627,0.025,60.627,89.977,4.87,0.355,26.74,83.888,0.287,-2.216e-5,2.244,-0.028,80.167,89.944,9739.826,1665.22,2.356,0.089,9.788,123.476,110.323,0.609,0,0,11.83,0.368,0.219,0.027,0.122,0.368,0.044,0.026,2.856e-4,0,0,0,0,3.889e-4,2.123,90,8.274,895.045,0.001,336.313,0.118,4.279e6,21.6,366.435,0.05,0.142,0.005
10.758,953.235,1036.735,38.632,38.936,-10.927,10.933,60.87,0.025,60.87,89.977,4.852,0.349,26.74,83.888,0.289,-2.222e-5,2.469,-0.029,80.049,89.944,9739.826,1665.22,2.356,0.089,9.788,123.474,110.323,0.609,0,0,11.507,0.368,0.219,0.027,0.122,0.368,0.044,0.027,9.511e-5,0,0,0,0,4.837e-4,2.127,90,8.261,894.838,0.001,336.305,0.117,4.221e6,21.6,366.435,0.05,0.142,0.005
10.808,955.153,1038.653,38.087,38.393,-10.903,10.907,61.112,0.025,61.112,89.976,4.837,0.296,26.74,83.888,0.191,-2.227e-5,2.637,-0.042,79.921,89.944,9739.826,1665.22,2.356,0.089,9.788,123.526,110.323,0.611,0,0,11.181,0.368,0.219,0.027,0.122,0.368,0.029,0.017,1.24e-4,0,0,0,0,5.677e-4,2.065,90,8.249,894.634,0.001,336.298,0.115,4.161e6,21.6,366.435,0.05,0.143,0.005
10.858,957.044,1040.544,37.542,37.851,-10.867,10.871,61.354,0.025,61.354,89.976,4.821,0.314,26.74,83.888,0.244,-2.233e-5,2.795,-0.032,79.785,89.944,9739.826,1665.22,2.356,0.089,9.788,123.497,110.323,0.61,0,0,10.874,0.368,0.219,0.027,0.122,0.368,0.037,0.023,4.26e-4,0,0,0,0,6.558e-4,2.109,90,8.236,894.433,0.001,336.29,0.114,4.103e6,21.6,366.435,0.05,0.143,0.005
10.908,958.908,1042.408,37,37.311,-10.839,10.843,61.595,0.026,61.595,89.976,4.806,0.287,26.74,83.888,0.197,-2.234e-5,2.954,-0.039,79.641,89.945,9739.826,1665.22,2.356,0.089,9.788,123.522,110.323,0.611,0,0,10.565,0.368,0.219,0.027,0.122,0.368,0.03,0.017,-2.664e-4,0,0,0,0,7.536e-4,2.089,90,8.224,894.235,0.001,336.283,0.112,4.045e6,21.6,366.435,0.05,0.144,0.005
10.958,960.744,1044.244,36.458,36.772,-10.821,10.823,61.834,0.026,61.835,89.976,4.794,0.206,26.74,83.888,0.022,-2.231e-5,3.004,-0.314,79.491,89.946,9739.826,1665.22,2.356,0.089,9.788,123.617,110.323,0.615,0,0,10.252,0.368,0.219,0.027,0.122,0.368,0.003,0.001,-4.514e-4,0,0,0,0,8.029e-4,1.984,90,8.212,894.039,0.001,336.276,0.11,3.985e6,21.6,366.435,0.05,0.144,0.005
11.008,962.554,1046.054,35.918,36.235,-10.8,10.801,62.074,0.026,62.074,89.976,4.785,0.154,26.74,83.888,0.096,-2.232e-5,-2.992,-0.066,79.341,89.948,9739.826,1665.22,2.356,0.089,9.788,123.575,110.323,0.614,0,0,9.949,0.368,0.219,0.027,0.122,0.368,0.015,0.01,1.676e-5,0,0,0,0,-8.204e-4,1.913,90,8.201,893.847,0.001,336.268,0.109,3.925e6,21.6,366.435,0.05,0.145,0.005
11.058,964.336,1047.836,35.378,35.7,-10.783,10.783,62.313,0.026,62.313,89.976,4.779,0.078,26.74,83.888,0.277,-2.231e-5,-2.862,-0.02,79.194,89.949,9739.826,1665.22,2.356,0.089,9.788,123.475,110.323,0.609,0,0,9.649,0.367,0.219,0.027,0.121,0.368,0.042,0.027,4.632e-4,0,0,0,0,-7.736e-4,1.797,90,8.189,893.657,0.001,336.261,0.107,3.865e6,21.6,366.435,0.05,0.145,0.005
11.108,966.091,1049.591,34.84,35.165,-10.756,10.756,62.552,0.027,62.552,89.976,4.776,0.061,26.74,83.888,0.32,-2.228e-5,-2.658,-0.014,79.056,89.951,9739.826,1665.22,2.356,0.089,9.788,123.451,110.323,0.608,0,0,9.362,0.367,0.219,0.027,0.121,0.368,0.049,0.031,-2.814e-4,0,0,0,0,-6.878e-4,1.76,90,8.178,893.471,0.001,336.255,0.105,3.807e6,21.6,366.435,0.05,0.146,0.005
11.158,967.82,1051.32,34.303,34.633,-10.713,10.714,62.791,0.027,62.791,89.975,4.771,0.136,26.74,83.888,0.126,-2.227e-5,-2.519,-0.02,78.927,89.953,9739.826,1665.22,2.356,0.089,9.788,123.557,110.323,0.613,0,0,9.09,0.367,0.219,0.027,0.121,0.367,0.019,0.012,-3.852e-4,0,0,0,0,-6.362e-4,1.864,90,8.166,893.287,0.001,336.248,0.104,3.752e6,21.6,366.435,0.05,0.146,0.005
11.208,969.522,1053.022,33.768,34.102,-10.677,10.679,63.029,0.027,63.029,89.975,4.763,0.176,26.74,83.888,0.01,-2.226e-5,-2.476,-0.106,78.802,89.954,9739.826,1665.22,2.356,0.089,9.788,123.619,110.323,0.616,0,0,8.82,0.367,0.219,0.027,0.121,0.367,0.002,0.001,2.795e-4,0,0,0,0,-6.331e-4,1.916,90,8.155,893.106,0.001,336.241,0.102,3.696e6,21.6,366.435,0.05,0.147,0.004
11.258,971.197,1054.697,33.235,33.573,-10.646,10.647,63.267,0.027,63.267,89.975,4.754,0.195,26.74,83.888,0.05,-2.226e-5,2.485,0.005,78.678,89.956,9739.826,1665.22,2.356,0.089,9.788,123.597,110.323,0.615,0,0,8.553,0.367,0.219,0.027,0.121,0.367,0.008,0.004,1.07e-4,0,0,0,0,6.572e-4,1.931,90,8.144,892.928,0.001,336.234,0.101,3.64e6,21.6,366.435,0.05,0.147,0.004
11.308,972.845,1056.345,32.704,33.046,-10.614,10.616,63.504,0.028,63.504,89.975,4.743,0.213,26.74,83.888,0.115,-2.226e-5,2.534,0.016,78.553,89.958,9739.826,1665.22,2.356,0.089,9.788,123.56,110.323,0.613,0,0,8.29,0.367,0.219,0.027,0.121,0.367,0.018,0.01,-4.635e-4,0,0,0,0,7.051e-4,1.948,90,8.134,892.752,0.001,336.228,0.099,3.583e6,21.6,366.435,0.05,0.147,0.004
11.358,974.467,1057.967,32.173,32.52,-10.593,10.595,63.741,0.028,63.741,89.975,4.734,0.18,26.74,83.888,0.031,-2.226e-5,2.565,0.08,78.425,89.96,9739.826,1665.22,2.356,0.089,9.788,123.606,110.323,0.615,0,0,8.024,0.367,0.219,0.027,0.121,0.367,0.005,0.002,1.421e-5,0,0,0,0,7.462e-4,1.874,90,8.123,892.58,0.001,336.222,0.098,3.525e6,21.6,366.435,0.05,0.148,0.004
11.408,976.063,1059.563,31.644,31.995,-10.566,10.568,63.978,0.028,63.978,89.975,4.724,0.18,26.74,83.888,0.043,-2.227e-5,2.584,0.08,78.296,89.962,9739.826,1665.22,2.356,0.089,9.788,123.599,110.323,0.615,0,0,7.768,0.367,0.219,0.027,0.121,0.367,0.006,0.003,-2.291e-4,0,0,0,0,7.816e-4,1.855,90,8.113,892.41,0.001,336.215,0.096,3.469e6,21.6,366.435,0.05,0.148,0.004
11.458,977.632,1061.132,31.117,31.472,-10.545,10.546,64.214,0.028,64.214,89.975,4.716,0.152,26.74,83.888,0.032,-2.226e-5,-2.573,0.123,78.167,89.963,9739.826,1665.22,2.356,0.089,9.788,123.604,110.323,0.615,0,0,7.512,0.367,0.219,0.027,0.121,0.367,0.005,0.004,2.912e-4,0,0,0,0,-8.017e-4,1.785,90,8.103,892.243,0.001,336.209,0.095,3.411e6,21.6,366.435,0.05,0.149,0.004
11.508,979.174,1062.674,30.59,30.95,-10.512,10.514,64.449,0.029,64.449,89.975,4.708,0.188,26.74,83.888,0.097,-2.227e-5,2.59,0.054,78.038,89.965,9739.826,1665.22,2.356,0.089,9.788,123.567,110.323,0.613,0,0,7.272,0.367,0.219,0.027,0.121,0.367,0.015,0.008,-3.95e-4,0,0,0,0,8.385e-4,1.827,90,8.093,892.079,0.001,336.203,0.093,3.356e6,21.6,366.435,0.05,0.149,0.004
11.558,980.691,1064.191,30.065,30.43,-10.483,10.485,64.684,0.029,64.684,89.974,4.698,0.207,26.74,83.888,0.175,-2.228e-5,2.647,0.037,77.907,89.966,9739.826,1665.22,2.356,0.089,9.788,123.524,110.323,0.611,0,0,7.034,0.367,0.219,0.027,0.121,0.367,0.027,0.015,-2.195e-4,0,0,0,0,9.056e-4,1.839,90,8.083,891.918,0.001,336.197,0.092,3.301e6,21.6,366.435,0.05,0.15,0.004
11.608,982.181,1065.681,29.542,29.911,-10.451,10.454,64.919,0.029,64.919,89.974,4.686,0.245,26.74,83.888,0.329,-2.226e-5,2.769,0.025,77.772,89.967,9739.826,1665.22,2.356,0.089,9.788,123.439,110.323,0.607,0,0,6.807,0.367,0.219,0.027,0.121,0.367,0.05,0.03,2.454e-4,0,0,0,0,0.001,1.893,90,8.073,891.759,0.001,336.191,0.09,3.247e6,21.6,366.435,0.05,0.15,0.004
11.658,983.645,1067.145,29.02,29.394,-10.435,10.437,65.153,0.029,65.153,89.974,4.676,0.202,26.74,83.888,0.195,-2.227e-5,2.873,0.043,77.631,89.968,9739.826,1665.22,2.356,0.089,9.788,123.512,110.323,0.611,0,0,6.565,0.367,0.219,0.027,0.121,0.367,0.03,0.017,-1.822e-4,0,0,0,0,0.001,1.792,90,8.064,891.603,0.001,336.185,0.088,3.189e6,21.6,366.435,0.05,0.151,0.004
11.708,985.083,1068.583,28.499,28.878,-10.406,10.408,65.387,0.03,65.387,89.974,4.665,0.227,26.74,83.888,0.309,-2.227e-5,2.978,0.031,77.485,89.969,9739.826,1665.22,2.356,0.089,9.788,123.449,110.323,0.608,0,0,6.344,0.367,0.219,0.027,0.121,0.367,0.047,0.027,-4.257e-4,0,0,0,0,0.001,1.823,90,8.054,891.45,0.001,336.18,0.087,3.135e6,21.6,366.435,0.05,0.151,0.004
11.758,986.495,1069.995,27.979,28.364,-10.379,10.382,65.62,0.03,65.62,89.974,4.653,0.241,26.74,83.888,0.387,-2.226e-5,3.119,0.028,77.333,89.97,9739.826,1665.22,2.356,0.089,9.788,123.406,110.323,0.606,0,0,6.126,0.367,0.219,0.027,0.121,0.367,0.059,0.035,-6.601e-5,0,0,0,0,0.001,1.835,90,8.045,891.3,0.001,336.174,0.085,3.08e6,21.6,366.435,0.05,0.152,0.004
11.808,987.881,1071.381,27.461,27.85,-10.358,10.36,65.852,0.03,65.852,89.974,4.641,0.233,26.74,83.888,0.384,-2.226e-5,3.261,0.028,77.173,89.97,9739.826,1665.22,2.356,0.089,9.787,123.407,110.323,0.606,0,0,5.907,0.367,0.219,0.027,0.121,0.367,0.059,0.034,-4.114e-4,0,0,0,0,0.002,1.805,90,8.036,891.153,0.001,336.169,0.084,3.024e6,21.6,366.435,0.05,0.152,0.004
11.858,989.241,1072.741,26.944,27.338,-10.326,10.33,66.084,0.03,66.084,89.974,4.628,0.279,26.74,83.888,0.603,-2.227e-5,3.444,0.017,77.006,89.971,9739.826,1665.22,2.356,0.089,9.787,123.288,110.323,0.6,0,0,5.707,0.367,0.219,0.027,0.121,0.367,0.093,0.054,1.558e-4,0,0,0,0,0.002,1.888,90,8.027,891.008,0.001,336.163,0.082,2.972e6,21.6,366.435,0.05,0.153,0.004
11.908,990.575,1074.075,26.428,26.828,-10.298,10.303,66.315,0.031,66.315,89.974,4.614,0.305,26.74,83.888,0.748,-2.228e-5,3.688,0.013,76.828,89.97,9739.826,1665.22,2.356,0.089,9.787,123.21,110.323,0.597,0,0,5.508,0.367,0.219,0.027,0.121,0.367,0.115,0.067,-3.133e-4,0,0,0,0,0.002,1.937,90,8.019,890.866,0.001,336.158,0.081,2.919e6,21.6,366.435,0.05,0.153,0.004
11.958,991.884,1075.384,25.914,26.319,-10.277,10.282,66.545,0.031,66.545,89.973,4.599,0.301,26.74,83.888,0.771,-2.23e-5,3.951,0.011,76.637,89.97,9739.826,1665.22,2.356,0.089,9.787,123.197,110.323,0.596,0,0,5.305,0.367,0.219,0.027,0.121,0.367,0.119,0.068,4.04e-4,0,0,0,0,0.003,1.927,90,8.01,890.727,0.001,336.153,0.079,2.864e6,21.6,366.435,0.05,0.154,0.003
12.008,993.167,1076.667,25.4,25.811,-10.259,10.263,66.775,0.031,66.775,89.973,4.584,0.285,26.74,83.888,0.744,-2.23e-5,4.195,0.01,76.433,89.969,9739.826,1665.22,2.356,0.089,9.787,123.211,110.323,0.597,0,0,5.103,0.367,0.219,0.027,0.121,0.367,0.115,0.066,3.025e-4,0,0,0,0,0.003,1.895,90,8.002,890.591,0.001,336.148,0.078,2.81e6,21.6,366.435,0.05,0.154,0.003
12.058,994.424,1077.924,24.888,25.304,-10.234,10.239,67.003,0.031,67.003,89.973,4.569,0.304,26.74,83.888,0.877,-2.226e-5,4.451,0.007,76.217,89.968,9739.826,1665.22,2.356,0.089,9.787,123.139,110.323,0.593,0,0,4.917,0.367,0.219,0.027,0.121,0.368,0.136,0.077,4.884e-4,0,0,0,0,0.004,1.942,90,7.993,890.457,0.001,336.143,0.077,2.757e6,21.6,366.435,0.05,0.154,0.003
12.108,995.655,1079.155,24.377,24.799,-10.209,10.214,67.231,0.032,67.231,89.973,4.554,0.326,26.74,83.888,1.029,-2.22e-5,4.732,0.003,75.988,89.966,9739.826,1665.22,2.356,0.089,9.787,123.058,110.323,0.59,0,0,4.737,0.367,0.219,0.026,0.121,0.368,0.16,0.09,3.877e-4,0,0,0,0,0.004,1.997,90,7.985,890.326,0.001,336.138,0.075,2.705e6,21.6,366.435,0.05,0.155,0.003
12.158,996.861,1080.361,23.867,24.294,-10.177,10.184,67.459,0.032,67.459,89.973,4.536,0.378,26.74,83.888,1.345,-2.221e-5,5.085,-0.002,75.742,89.965,9739.826,1665.22,2.356,0.089,9.787,122.892,110.323,0.582,0,0,4.574,0.367,0.219,0.026,0.121,0.369,0.21,0.117,2.02e-4,0,0,0,0,0.005,2.129,90,7.978,890.198,0.001,336.133,0.074,2.655e6,21.6,366.435,0.05,0.156,0.003
12.208,998.042,1081.542,23.359,23.792,-10.167,10.172,67.685,0.032,67.685,89.973,4.518,0.333,26.74,83.888,1.184,-2.215e-5,5.43,-0.002,75.479,89.963,9739.826,1665.22,2.356,0.089,9.787,122.976,110.323,0.586,0,0,4.38,0.367,0.219,0.026,0.121,0.368,0.184,0.102,2.411e-4,0,0,0,0,0.006,2.05,90,7.97,890.072,0.001,336.129,0.072,2.6e6,21.6,366.435,0.05,0.156,0.003
12.258,999.197,1082.697,22.851,23.29,-10.149,10.154,67.911,0.032,67.911,89.973,4.502,0.326,26.74,83.888,1.209,-2.218e-5,5.742,-0.004,75.2,89.962,9739.826,1665.22,2.356,0.089,9.787,122.962,110.323,0.585,0,0,4.204,0.367,0.219,0.026,0.121,0.368,0.188,0.103,1.101e-5,0,0,0,0,0.007,2.055,90,7.962,889.949,0.001,336.124,0.071,2.547e6,21.6,366.435,0.05,0.157,0.003
12.308,1000.327,1083.827,22.344,22.79,-10.129,10.135,68.135,0.032,68.135,89.973,4.485,0.329,26.74,83.888,1.291,-2.219e-5,6.05,-0.006,74.905,89.96,9739.826,1665.22,2.356,0.089,9.787,122.919,110.323,0.583,0,0,4.037,0.367,0.219,0.026,0.121,0.368,0.201,0.109,1.86e-4,0,0,0,0,0.008,2.085,90,7.955,889.829,0.001,336.12,0.069,2.495e6,21.6,366.435,0.05,0.157,0.003
12.358,1001.432,1084.932,21.838,22.29,-10.103,10.11,68.359,0.033,68.359,89.973,4.468,0.361,26.74,83.888,1.549,-2.216e-5,6.387,-0.01,74.595,89.959,9739.826,1665.22,2.356,0.089,9.787,122.784,110.323,0.577,0,0,3.886,0.367,0.219,0.026,0.121,0.369,0.242,0.13,-1.557e-4,0,0,0,0,0.01,2.19,90,7.948,889.711,0.001,336.115,0.068,2.445e6,21.6,366.435,0.05,0.157,0.003
12.408,1002.511,1086.011,21.333,21.792,-10.082,10.089,68.582,0.033,68.582,89.972,4.449,0.373,26.74,83.888,1.703,-2.214e-5,6.761,-0.012,74.266,89.957,9739.826,1665.22,2.356,0.089,9.787,122.705,110.323,0.573,0,0,3.733,0.366,0.219,0.026,0.121,0.37,0.267,0.142,-4.046e-4,0,0,0,0,0.011,2.251,90,7.941,889.597,0.001,336.111,0.067,2.395e6,21.6,366.435,0.05,0.158,0.003
12.458,1003.565,1087.065,20.83,21.296,-10.072,10.078,68.804,0.033,68.804,89.972,4.432,0.338,26.74,83.888,1.569,-2.215e-5,7.108,-0.013,73.919,89.956,9739.826,1665.22,2.356,0.089,9.787,122.773,110.323,0.576,0,0,3.562,0.366,0.219,0.026,0.121,0.369,0.246,0.128,4.791e-4,0,0,0,0,0.013,2.196,90,7.934,889.484,0.001,336.107,0.065,2.341e6,21.6,366.435,0.05,0.158,0.003
12.508,1004.594,1088.094,20.326,20.8,-10.053,10.059,69.025,0.033,69.025,89.972,4.415,0.344,26.74,83.888,1.697,-2.216e-5,7.437,-0.014,73.555,89.954,9739.826,1665.22,2.356,0.089,9.787,122.707,110.323,0.573,0,0,3.414,0.366,0.219,0.026,0.121,0.369,0.266,0.138,-2.359e-4,0,0,0,0,0.015,2.245,90,7.927,889.375,0.001,336.103,0.064,2.29e6,21.6,366.435,0.05,0.159,0.003
12.558,1005.598,1089.098,19.824,20.306,-10.033,10.039,69.245,0.034,69.245,89.972,4.397,0.352,26.74,83.888,1.848,-2.212e-5,7.782,-0.016,73.175,89.953,9739.826,1665.22,2.356,0.089,9.787,122.629,110.323,0.57,0,0,3.272,0.366,0.219,0.026,0.121,0.37,0.291,0.149,2.521e-5,0,0,0,0,0.017,2.303,90,7.921,889.268,0.001,336.099,0.062,2.241e6,21.6,366.435,0.05,0.159,0.003
12.608,1006.576,1090.076,19.323,19.813,-10.028,10.032,69.465,0.034,69.465,89.972,4.381,0.307,26.74,83.888,1.621,-2.211e-5,8.093,-0.018,72.778,89.952,9739.826,1665.22,2.356,0.089,9.787,122.745,110.323,0.575,0,0,3.107,0.366,0.219,0.026,0.12,0.369,0.254,0.127,1.292e-4,0,0,0,0,0.019,2.213,90,7.915,889.164,0.001,336.095,0.061,2.186e6,21.6,366.435,0.05,0.16,0.003
12.658,1007.53,1091.03,18.822,19.321,-10.017,10.021,69.684,0.034,69.684,89.972,4.366,0.283,26.74,83.888,1.54,-2.212e-5,8.357,-0.019,72.366,89.951,9739.826,1665.22,2.356,0.089,9.787,122.787,110.323,0.577,0,0,2.958,0.366,0.219,0.026,0.12,0.369,0.241,0.118,6.282e-6,0,0,0,0,0.022,2.178,90,7.908,889.063,0.001,336.091,0.059,2.133e6,21.6,366.435,0.05,0.16,0.003
12.708,1008.459,1091.959,18.321,18.831,-10.007,10.01,69.902,0.034,69.902,89.972,4.352,0.263,26.74,83.888,1.474,-2.213e-5,8.588,-0.02,71.943,89.95,9739.826,1665.22,2.356,0.089,9.787,122.82,110.323,0.579,0,0,2.813,0.366,0.219,0.026,0.12,0.369,0.23,0.11,3.381e-4,0,0,0,0,0.024,2.147,90,7.902,888.964,0.001,336.088,0.058,2.081e6,21.6,366.435,0.05,0.161,0.002
12.758,1009.362,1092.862,17.821,18.342,-9.989,9.993,70.119,0.035,70.119,89.972,4.339,0.269,26.74,83.888,1.613,-2.214e-5,8.812,-0.021,71.508,89.949,9739.826,1665.22,2.356,0.089,9.787,122.748,110.323,0.575,0,0,2.683,0.366,0.219,0.026,0.12,0.369,0.253,0.119,-4.606e-4,0,0,0,0,0.026,2.185,90,7.896,888.868,0.001,336.084,0.056,2.031e6,21.6,366.435,0.05,0.161,0.002
12.808,1010.241,1093.741,17.322,17.854,-9.977,9.98,70.335,0.035,70.335,89.972,4.326,0.258,26.74,83.888,1.622,-2.214e-5,9.033,-0.021,71.062,89.949,9739.826,1665.22,2.356,0.089,9.787,122.743,110.323,0.575,0,0,2.55,0.366,0.219,0.026,0.12,0.369,0.254,0.117,-3.361e-4,0,0,0,0,0.029,2.171,90,7.891,888.774,0.001,336.081,0.055,1.98e6,21.6,366.435,0.05,0.161,0.002
12.858,1011.094,1094.594,16.823,17.368,-9.967,9.97,70.551,0.035,70.551,89.971,4.314,0.242,26.74,83.888,1.585,-2.215e-5,9.232,-0.022,70.605,89.948,9739.826,1665.22,2.356,0.089,9.787,122.762,110.323,0.576,0,0,2.417,0.366,0.219,0.026,0.12,0.369,0.248,0.11,1.117e-4,0,0,0,0,0.032,2.138,90,7.885,888.684,0.001,336.077,0.054,1.928e6,21.6,366.435,0.05,0.162,0.002
12.908,1011.923,1095.423,16.325,16.883,-9.949,9.952,70.767,0.035,70.767,89.971,4.301,0.253,26.74,83.888,1.809,-2.213e-5,9.431,-0.021,70.138,89.948,9739.826,1665.22,2.356,0.089,9.787,122.647,110.323,0.571,0,0,2.303,0.366,0.219,0.026,0.12,0.37,0.284,0.127,2.687e-4,0,0,0,0,0.035,2.186,90,7.88,888.595,0.001,336.074,0.052,1.88e6,21.6,366.435,0.05,0.162,0.002
12.958,1012.727,1096.227,15.828,16.399,-9.93,9.933,70.982,0.036,70.982,89.971,4.288,0.267,26.74,83.888,2.079,-2.214e-5,9.646,-0.019,69.661,89.947,9739.826,1665.22,2.356,0.089,9.787,122.509,110.323,0.564,0,0,2.193,0.366,0.219,0.026,0.12,0.371,0.328,0.147,4.551e-4,0,0,0,0,0.039,2.241,90,7.875,888.51,0.001,336.071,0.051,1.832e6,21.6,366.435,0.05,0.163,0.002
13.008,1013.506,1097.006,15.333,15.917,-9.905,9.909,71.196,0.036,71.196,89.971,4.274,0.302,26.74,83.888,2.586,-2.215e-5,9.9,-0.018,69.173,89.947,9739.826,1665.22,2.356,0.089,9.787,122.255,110.323,0.552,0,0,2.102,0.366,0.219,0.026,0.12,0.373,0.412,0.185,-1.857e-4,0,0,0,0,0.043,2.365,90,7.869,888.427,0.001,336.068,0.05,1.788e6,21.6,366.435,0.05,0.163,0.002
13.058,1014.26,1097.76,14.838,15.437,-9.892,9.896,71.409,0.036,71.409,89.971,4.259,0.298,26.74,83.888,2.727,-2.214e-5,10.173,-0.017,68.671,89.947,9739.826,1665.22,2.356,0.089,9.787,122.185,110.323,0.549,0,0,1.991,0.366,0.219,0.026,0.12,0.374,0.436,0.192,1.838e-5,0,0,0,0,0.048,2.365,90,7.865,888.347,0.001,336.065,0.048,1.739e6,21.6,366.435,0.05,0.164,0.002
13.108,1014.99,1098.49,14.343,14.958,-9.885,9.889,71.622,0.036,71.622,89.971,4.245,0.277,26.74,83.888,2.667,-2.216e-5,10.422,-0.017,68.156,89.947,9739.826,1665.22,2.356,0.089,9.787,122.214,110.323,0.551,0,0,1.872,0.366,0.22,0.026,0.12,0.373,0.426,0.18,-7.885e-5,0,0,0,0,0.053,2.295,90,7.86,888.269,0.001,336.062,0.047,1.687e6,21.6,366.435,0.05,0.164,0.002
13.158,1015.695,1099.195,13.85,14.481,-9.867,9.872,71.833,0.037,71.833,89.971,4.23,0.289,26.74,83.888,3.008,-2.216e-5,10.671,-0.016,67.629,89.947,9739.826,1665.22,2.356,0.089,9.787,122.047,110.323,0.543,0,0,1.779,0.366,0.22,0.026,0.12,0.375,0.483,0.203,-4.63e-4,0,0,0,0,0.059,2.34,90,7.855,888.194,0.001,336.059,0.046,1.64e6,21.6,366.435,0.05,0.165,0.002
